369 0.41 0.536 0.536
370 0.411 0.53 0.53
371 0.412 0.524 0.524
372 0.413 0.518 0.518
373 0.414 0.512 0.512
374 0.416 0.506 0.506
375 0.417 0.5 0.5
376 0.418 0.494 0.494
377 0.419 0.488 0.488
378 0.42 0.482 0.482
379 0.421 0.476 0.476
380 0.422 0.469 0.469
381 0.423 0.463 0.463
382 0.424 0.457 0.457
383 0.426 0.451 0.451
384 0.427 0.445 0.445
385 0.428 0.438 0.438
386 0.429 0.432 0.432
387 0.43 0.426 0.426
388 0.431 0.419 0.419
389 0.432 0.413 0.413
390 0.433 0.407 0.407
391 0.434 0.4 0.4
392 0.436 0.394 0.394
393 0.437 0.388 0.388
394 0.438 0.381 0.381
395 0.439 0.375 0.375
396 0.44 0.368 0.368
397 0.441 0.362 0.362
398 0.442 0.355 0.355
399 0.443 0.349 0.349
400 0.444 0.342 0.342
401 0.446 0.335 0.335
402 0.447 0.329 0.329
403 0.448 0.322 0.322
404 0.449 0.316 0.316
405 0.45 0.309 0.309
406 0.451 0.302 0.302
407 0.452 0.296 0.296
408 0.453 0.289 0.289
409 0.454 0.282 0.282
410 0.456 0.276 0.276
411 0.457 0.269 0.269
412 0.458 0.262 0.262
413 0.459 0.255 0.255
414 0.46 0.249 0.249
415 0.461 0.242 0.242
416 0.462 0.235 0.235
417 0.463 0.228 0.228
418 0.464 0.222 0.222
419 0.466 0.215 0.215
420 0.467 0.208 0.208
421 0.468 0.201 0.201
422 0.469 0.194 0.194
423 0.47 0.187 0.187
424 0.471 0.181 0.181
425 0.472 0.174 0.174
426 0.473 0.167 0.167
427 0.474 0.16 0.16
428 0.476 0.153 0.153
429 0.477 0.146 0.146
430 0.478 0.139 0.139
431 0.479 0.132 0.132
432 0.48 0.125 0.125
433 0.481 0.118 0.118
434 0.482 0.111 0.111
435 0.483 0.105 0.105
436 0.484 0.0976 0.0976
437 0.486 0.0906 0.0906
438 0.487 0.0837 0.0837
439 0.488 0.0767 0.0767
440 0.489 0.0698 0.0698
