Test case...
f(410.00000000000) = 0.97759761268
f(411.00000000000) = -0.33171054707
f(412.00000000000) = -1.33604555961
f(413.00000000000) = -1.11202644613
f(414.00000000000) = 0.13438465355
f(415.00000000000) = 1.25724312250
f(416.00000000000) = 1.22419806270
f(417.00000000000) = 0.06563094973
f(418.00000000000) = -1.15327695575
f(419.00000000000) = -1.31186734672
f(420.00000000000) = -0.26433294911
f(421.00000000000) = 1.02622794288
f(422.00000000000) = 1.37327959688
f(423.00000000000) = 0.45774432271
f(424.00000000000) = -0.87863897076
f(425.00000000000) = -1.40720564657
f(426.00000000000) = -0.64199394058
f(427.00000000000) = 0.71346403367
f(428.00000000000) = 1.41296646567
f(429.00000000000) = 0.81339404536
f(430.00000000000) = -0.53400910910
f(431.00000000000) = -1.39044675136
f(432.00000000000) = -0.96851406280
f(433.00000000000) = 0.34386598857
f(434.00000000000) = 1.34009723587
f(435.00000000000) = 1.10424926468
f(436.00000000000) = -0.14684038794
f(437.00000000000) = -1.26292566508
f(438.00000000000) = -1.21788291003
f(439.00000000000) = -0.05312422405
f(440.00000000000) = 1.16047662853
f(441.00000000000) = 1.30714062064
f(442.00000000000) = 0.25202555433
f(443.00000000000) = -1.03480064436
f(444.00000000000) = -1.37023590285
f(445.00000000000) = -0.44588259143
f(446.00000000000) = 0.88841311826
f(447.00000000000) = 1.40590590415
f(448.00000000000) = 0.63081528543
f(449.00000000000) = -0.72424399756
f(450.00000000000) = -1.41343668922
f(451.00000000000) = -0.80312220720
f(452.00000000000) = 0.54557912833
f(453.00000000000) = 1.39267752934
f(454.00000000000) = 0.95935463254
f(455.00000000000) = -0.35599448913
f(456.00000000000) = -1.34404391924
f(457.00000000000) = -1.09638556838
f(458.00000000000) = 0.15928461781
f(459.00000000000) = 1.26850926096
f(460.00000000000) = 1.21147233962
f(461.00000000000) = 0.04061333622
f(462.00000000000) = -1.16758538120
f(463.00000000000) = -1.30231148374
f(464.00000000000) = -0.23969841405
f(465.00000000000) = 1.04329227210
f(466.00000000000) = 1.36708485466
f(467.00000000000) = 0.43398592649
f(468.00000000000) = -0.89811766107
f(469.00000000000) = -1.40449601292
f(470.00000000000) = -0.61958720766
f(471.00000000000) = 0.73496721895
f(472.00000000000) = 1.41379617394
f(473.00000000000) = 0.79278744666
f(474.00000000000) = -0.55710640295
f(475.00000000000) = -1.39479919492
f(476.00000000000) = -0.95012003952
f(477.00000000000) = 0.36809509851
f(478.00000000000) = 1.34788530052
f(479.00000000000) = 1.08843597333
f(480.00000000000) = -0.17171636816
f(481.00000000000) = -1.27399347268
f(482.00000000000) = -1.20496685374
f(483.00000000000) = -0.02809926646
f(484.00000000000) = 1.17460265682
f(485.00000000000) = 1.29738031437
f(486.00000000000) = 0.22735249407
f(487.00000000000) = -1.05170216079
f(488.00000000000) = -1.36382669919
f(489.00000000000) = -0.42205525996
f(490.00000000000) = 0.90775183887
f(491.00000000000) = 1.40297608335
f(492.00000000000) = 0.60831058696
f(493.00000000000) = -0.74563285771
f(494.00000000000) = -1.41404489167
f(495.00000000000) = -0.78239057343
f(496.00000000000) = 0.56859002985
f(497.00000000000) = 1.39681158187
f(498.00000000000) = 0.94081100725
f(499.00000000000) = -0.38016686866
f(500.00000000000) = -1.35162107875
f(501.00000000000) = -1.08040110236
f(502.00000000000) = 0.18413466502
f(503.00000000000) = 1.27937787056
f(504.00000000000) = 1.19836696206
f(505.00000000000) = 0.01558299519
f(506.00000000000) = -1.18152790559
f(507.00000000000) = -1.29234749887
f(508.00000000000) = -0.21498876165
f(509.00000000000) = 1.06002965155
f(510.00000000000) = 1.36046169170
f(511.00000000000) = 0.41009152659
f(512.00000000000) = -0.91731489684
f(513.00000000000) = -1.40134623452
f(514.00000000000) = -0.59698630683
f(515.00000000000) = 0.75624007822
f(516.00000000000) = 1.41418282293
f(517.00000000000) = 0.77193240208
f(518.00000000000) = -0.58002910930
f(519.00000000000) = -1.39871453253
f(520.00000000000) = -0.93142826505
f(521.00000000000) = 0.39220885381
f(522.00000000000) = 1.35525096124
f(523.00000000000) = 1.07228158497
f(524.00000000000) = -0.19653853544
f(525.00000000000) = -1.28466203275
f(526.00000000000) = -1.19167318167
f(527.00000000000) = -0.00306550304
f(528.00000000000) = 1.18836058495
f(529.00000000000) = 1.28721343154
f(530.00000000000) = 0.20260818547
f(531.00000000000) = -1.06827409195
f(532.00000000000) = -1.35699009583
f(533.00000000000) = -0.39809566368
f(534.00000000000) = 0.92680608574
f(535.00000000000) = 1.39960659412
f(536.00000000000) = 0.58561525448
f(537.00000000000) = -0.76678804943
f(538.00000000000) = -1.41420995691
f(539.00000000000) = -0.76141375198
f(540.00000000000) = 0.59142274509
f(541.00000000000) = 1.40050789780
f(542.00000000000) = 0.92197254805
f(543.00000000000) = -0.40422011048
f(544.00000000000) = -1.35877466360
f(545.00000000000) = -1.06407805731
f(546.00000000000) = 0.20892700762
f(547.00000000000) = 1.28984554526
f(548.00000000000) = 1.18488603702
f(549.00000000000) = -0.00945222928
f(550.00000000000) = -1.19510015957
f(551.00000000000) = -1.28197851464
f(552.00000000000) = -0.19021173550
f(553.00000000000) = 1.07643483605
f(554.00000000000) = 1.35341218357
f(555.00000000000) = 0.38606861109
f(556.00000000000) = -0.93622466198
f(557.00000000000) = -1.39775729844
f(558.00000000000) = -0.57419832081
f(559.00000000000) = 0.77727594493
f(560.00000000000) = 1.41412629149
f(561.00000000000) = 0.75083544724
f(562.00000000000) = -0.60277004455
f(563.00000000000) = -1.40219153719
f(564.00000000000) = -0.91244459708
f(565.00000000000) = 0.41619969764
f(566.00000000000) = 1.36219190975
f(567.00000000000) = 1.05579116211
f(568.00000000000) = -0.22129911095
f(569.00000000000) = -1.29492800197
f(570.00000000000) = -1.17800605985
f(571.00000000000) = 0.02196922104
f(572.00000000000) = 1.20174610142
f(573.00000000000) = 1.27664315829
f(574.00000000000) = 0.17780038297
f(575.00000000000) = -1.08451124449
f(576.00000000000) = -1.34972823524
f(577.00000000000) = -0.37401131110
f(578.00000000000) = 0.94556988762
f(579.00000000000) = 1.39579849238
f(580.00000000000) = 0.56273640031
f(581.00000000000) = -0.78770294302
f(582.00000000000) = -1.41393183321
f(583.00000000000) = -0.74019831663
f(584.00000000000) = 0.61407011867
f(585.00000000000) = 1.40376531879
f(586.00000000000) = 0.90284515861
f(587.00000000000) = -0.42814667671
f(588.00000000000) = -1.36550243196
f(589.00000000000) = -1.04742154861
f(590.00000000000) = 0.23365387610
f(591.00000000000) = 1.29990900468
f(592.00000000000) = 1.17103378919
f(593.00000000000) = -0.03448449158
f(594.00000000000) = -1.20829788982
f(595.00000000000) = -1.27120778051
f(596.00000000000) = -0.16537510027
f(597.00000000000) = 1.09250268449
f(598.00000000000) = 1.34593853947
f(599.00000000000) = 0.36192470837
f(600.00000000000) = -0.95484103050
f(601.00000000000) = -1.39373032941
f(602.00000000000) = -0.55123039097
f(603.00000000000) = 0.79806822679
f(604.00000000000) = 1.41362659732
f(605.00000000000) = 0.72950319355
f(606.00000000000) = -0.62532208210
f(607.00000000000) = -1.40522911929
f(608.00000000000) = -0.89317498475
f(609.00000000000) = 0.44006011168
f(610.00000000000) = 1.36870597087
f(611.00000000000) = 1.03896987255
f(612.00000000000) = -0.24599033513
f(613.00000000000) = -1.30478816314
f(614.00000000000) = -1.16396977130
f(615.00000000000) = 0.04699706036
f(616.00000000000) = 1.21475501146
f(617.00000000000) = 1.26567280715
f(618.00000000000) = 0.15293686090
